index,climate_type
Adelaide,6
Albany,6
Albury,6
AliceSprings,3
BadgerysCreek,6
Ballarat,6
Bendigo,4
Brisbane,2
Cairns,1
Canberra,7
Cobar,4
CoffsHarbour,2
Dartmoor,6
Darwin,1
GoldCoast,2
Hobart,7
Katherine,1
Launceston,7
Melbourne,6
MelbourneAirport,6
Mildura,4
Moree,4
MountGambier,6
MountGinini,8
Newcastle,5
Nhil,4
NorahHead,5
NorfolkIsland,5
Nuriootpa,6
PearceRAAF,5
Penrith,5
Perth,5
PerthAirport,5
Portland,6
Richmond,5
Sale,7
SalmonGums,6
Sydney,5
SydneyAirport,5
Townsville,1
Tuggeranong,7
Uluru,3
WaggaWagga,4
Walpole,6
Watsonia,6
Williamtown,5
Witchcliffe,5
Wollongong,5
Woomera,4
